campaign_id,source_file,source_sha256,source_ordinal,line_number,schema,concurrency,round,slot,identity,request_id,submitted_us,started_us,completed_us,received_us,wait_us,service_us,turnaround_us,correct,contamination,fallback,isolation_ok,result_fingerprint,status
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,531,2,2,5,1,D,d40be9e3ebd2d673,10949902,10950210,10950704,10950917,308,494,802,1,0,0,1,a13f6a5666f964a2,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,532,2,2,6,0,A,e000f24530016957,10950941,10951293,10951413,10951513,352,120,472,1,0,0,1,84584d4a151939c4,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,533,2,2,6,1,B,c51b0f17f954f6b2,10950999,10951103,10951199,10951562,104,96,200,1,0,0,1,48f49187398f6d57,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,534,2,2,7,0,C,d30d4e6b070dbcd4,10951585,10951737,10951824,10952099,152,87,239,1,0,0,1,b7214cd42a50a9b7,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,535,2,2,7,1,D,f61cf94fe63fde71,10951638,10951922,10952010,10952147,284,88,372,1,0,0,1,dc160e1b7cbb444b,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,536,2,2,8,0,A,fdfd1dd5562b99d9,10952170,10952586,10952682,10952778,416,96,512,1,0,0,1,bca37b63c779b697,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,537,2,2,8,1,B,daed72f076f9783c,10952222,10952318,10952454,10952825,96,136,232,1,0,0,1,493997955c01803e,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,538,2,2,9,0,C,ecf4961f58f515da,10952848,10953005,10953092,10953363,157,87,244,1,0,0,1,7dbddb9e6b3f4736,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,539,2,2,9,1,D,87da794c8fa1887f,10952901,10953188,10953276,10953410,287,88,375,1,0,0,1,d5e2add144fb05ca,measured
agentos-advanced-figures-20260811,raw/serial/agenteval-hit-01-boot-01.txt,96e39a8a251ef906779a7453aed54b40215ea7bf0c7fac6b8e677cae0ccfb572,7,540,2,2,10,0,A,9bf949657c55ca5b,10953432,10953747,10953852,10953952,315,105,420,1,0,0,1,252876bea92576ad,measured
