campaign_id,source_file,source_sha256,source_ordinal,line_number,scenario,index,source,threads,wake_probes,mode,flags,latency_class,weight,request_ticks,lifecycle,work,service,dispatch,fallback,deadline_miss,wake_samples,wake_max,wake_bucket_0,wake_bucket_1,wake_bucket_2,wake_bucket_3,serial_record_complete,serial_fragmented_line,serial_segment_index,serial_segment_count
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,74,2,0,bootstrap,1,0,1,7,3,1024,8,1:1,11200,582722,1407,0,0,0,1,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,79,2,1,fresh,1,4,1,7,2,1024,4,2:1,12288,586918,1549,0,4,4,0,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,83,3,0,bootstrap,1,0,1,7,3,1024,8,1:1,8768,360790,1100,0,0,0,1,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,92,3,1,fresh,1,4,1,7,2,1024,4,2:2,8640,360053,1094,0,4,4,0,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,93,3,2,fresh,1,4,1,7,2,1024,4,3:1,9200,362100,1166,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,100,16,0,bootstrap,1,0,1,7,3,1024,8,1:1,6016,274953,755,0,0,0,1,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,110,16,3,fresh,1,4,1,7,2,1024,4,4:1,6456,276841,823,0,4,4,4,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,111,16,2,fresh,1,4,1,7,2,1024,4,3:2,6360,278860,814,0,4,4,2,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,112,16,1,fresh,1,4,1,7,2,1024,4,2:3,6320,276464,809,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,113,16,4,bootstrap,1,0,1,7,3,1024,8,1:1,6528,266418,819,0,0,0,1,0,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,126,16,6,fresh,1,4,1,7,2,1024,4,3:3,6696,270135,864,0,4,4,2,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,127,16,5,fresh,1,4,1,7,2,1024,4,2:4,6416,270729,835,0,4,4,1,4,0,0,0,1,,,
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-03.txt,3d92c335e59f1bd5549a291fe3625a837d28ccba4c4e2339020d71e1f4d25449,3,128,16,7,fresh,1,4,1,7,2,1024,4,4:2,6976,271461,900,0,4,4,3,4,0,0,0,1,,,
