campaign_id,source_file,source_sha256,source_ordinal,line_number,schema,boot_round,order,path,operations,syscalls,start_us,end_us,duration_us,service_start_span_ticks,sequence_elapsed_ticks,sched_dispatch_delta,status
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,282,1,4,2,sq_cq,16,2,6403138,6404636,1498,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,301,1,5,0,scalar_v3,16,16,6422960,6424720,1760,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,320,1,5,1,sq_cq,16,2,6441545,6443221,1676,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,339,1,5,2,batch,16,1,6459819,6460345,526,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,358,1,6,0,sq_cq,16,2,6477331,6479407,2076,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,377,1,6,1,batch,16,1,6498474,6499023,549,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,396,1,6,2,scalar_v3,16,16,6517808,6519646,1838,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,415,1,7,0,batch,16,1,6536051,6536579,528,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,434,1,7,1,scalar_v3,16,16,6553395,6555770,2375,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,453,1,7,2,sq_cq,16,2,6573593,6575037,1444,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,472,1,8,0,scalar_v3,16,16,6593477,6595552,2075,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,491,1,8,1,sq_cq,16,2,6613374,6615113,1739,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-02.txt,5d77cd98efd81c595ddaee2d03251023d3aead324da3669beee3135437b1d503,12,510,1,8,2,batch,16,1,6631291,6632020,729,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,73,1,1,0,batch,16,1,6346275,6353733,7458,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,92,1,1,1,scalar_v3,16,16,6394494,6400045,5551,0,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,111,1,1,2,sq_cq,16,2,6417419,6425245,7826,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,130,1,2,0,scalar_v3,16,16,6442034,6443852,1818,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,149,1,2,1,sq_cq,16,2,6461740,6463102,1362,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,168,1,2,2,batch,16,1,6480851,6481412,561,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,187,1,3,0,sq_cq,16,2,6497846,6499374,1528,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,206,1,3,1,batch,16,1,6515815,6516348,533,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,225,1,3,2,scalar_v3,16,16,6532627,6534325,1698,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,244,1,4,0,batch,16,1,6549970,6550679,709,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,263,1,4,1,scalar_v3,16,16,6567022,6569111,2089,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,282,1,4,2,sq_cq,16,2,6586732,6588130,1398,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,301,1,5,0,scalar_v3,16,16,6604677,6606755,2078,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,320,1,5,1,sq_cq,16,2,6627338,6628898,1560,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,339,1,5,2,batch,16,1,6644679,6645197,518,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,358,1,6,0,sq_cq,16,2,6660958,6662357,1399,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,377,1,6,1,batch,16,1,6680062,6680592,530,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,396,1,6,2,scalar_v3,16,16,6698346,6700258,1912,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,415,1,7,0,batch,16,1,6716820,6717346,526,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,434,1,7,1,scalar_v3,16,16,6732860,6734851,1991,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,453,1,7,2,sq_cq,16,2,6752310,6753675,1365,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,472,1,8,0,scalar_v3,16,16,6772133,6773918,1785,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,491,1,8,1,sq_cq,16,2,6790632,6792108,1476,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,510,1,8,2,batch,16,1,6807968,6808680,712,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,73,1,1,0,batch,16,1,6461539,6466998,5459,0,0,8,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,92,1,1,1,scalar_v3,16,16,6506382,6513784,7402,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,111,1,1,2,sq_cq,16,2,6532790,6539708,6918,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,130,1,2,0,scalar_v3,16,16,6558767,6560623,1856,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,149,1,2,1,sq_cq,16,2,6580033,6581741,1708,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,168,1,2,2,batch,16,1,6598626,6599151,525,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,187,1,3,0,sq_cq,16,2,6615748,6617208,1460,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,206,1,3,1,batch,16,1,6635447,6636008,561,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,225,1,3,2,scalar_v3,16,16,6653005,6655101,2096,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,244,1,4,0,batch,16,1,6670766,6671465,699,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,263,1,4,1,scalar_v3,16,16,6688198,6689945,1747,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,282,1,4,2,sq_cq,16,2,6707171,6708928,1757,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,301,1,5,0,scalar_v3,16,16,6726246,6729174,2928,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,320,1,5,1,sq_cq,16,2,6746984,6748690,1706,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,339,1,5,2,batch,16,1,6763934,6764585,651,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,358,1,6,0,sq_cq,16,2,6780560,6782195,1635,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,377,1,6,1,batch,16,1,6799214,6799786,572,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,396,1,6,2,scalar_v3,16,16,6819199,6821563,2364,1,1,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,415,1,7,0,batch,16,1,6839135,6839736,601,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,434,1,7,1,scalar_v3,16,16,6855748,6857514,1766,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,453,1,7,2,sq_cq,16,2,6875264,6876657,1393,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,472,1,8,0,scalar_v3,16,16,6894757,6896520,1763,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,491,1,8,1,sq_cq,16,2,6913909,6915636,1727,0,0,0,measured
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,510,1,8,2,batch,16,1,6931710,6932244,534,0,0,0,measured
