campaign_id,source_file,source_sha256,source_ordinal,line_number,path,operations,syscalls,abi_descriptor_bytes,copied_descriptor_bytes,dispatch_header_bytes,control_abi_bytes,control_copied_bytes,service_start_interval_tick_p50,service_start_interval_tick_p99,service_start_span_ticks,sequence_elapsed_ticks,sched_dispatch_delta
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,281,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,300,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,319,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,338,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,357,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,376,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,395,scalar_v3,16,16,12288,12288,128,0,0,0,1,1,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,414,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,433,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,452,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,471,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,490,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-03.txt,87e08ced3f123809bd89582497c79496a607bbb0290b7ee6b60193ece5d9b7e1,13,509,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,72,batch,16,1,3584,3584,0,0,0,0,0,0,0,8
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,91,scalar_v3,16,16,12288,12288,128,0,0,0,1,1,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,110,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,129,scalar_v3,16,16,12288,12288,128,0,0,0,1,1,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,148,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,167,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,186,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,205,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,224,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,243,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,262,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,281,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,300,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,319,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,338,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,357,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,376,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,395,scalar_v3,16,16,12288,12288,128,0,0,0,1,1,1,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,414,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,433,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,452,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,471,scalar_v3,16,16,12288,12288,128,0,0,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,490,sq_cq,16,2,4096,4096,0,336,544,0,0,0,0,0
agentos-advanced-figures-20260811,raw/serial/agenttask-boot-04.txt,f2eb82fda9bc94fe98da85df3b0505122448654751eef717512b2d1ee7a906e1,14,509,batch,16,1,3584,3584,0,0,0,0,0,0,0,0
